"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 09, 2010","83.95","83.77","84.11","83.62","-","0.16%"
"Jul 08, 2010","83.82","83.96","84.02","83.66","-","0.00%"
"Jul 07, 2010","83.82","84.11","84.38","83.75","-","-0.31%"
"Jul 06, 2010","84.08","84.59","84.83","83.83","-","-0.63%"
"Jul 05, 2010","84.61","84.40","84.72","84.39","-","0.21%"
"Jul 02, 2010","84.43","84.61","84.77","84.13","-","-0.34%"
"Jul 01, 2010","84.72","86.10","86.26","84.42","-","-1.51%"
"Jun 30, 2010","86.02","86.13","86.27","85.60","-","-0.01%"
"Jun 29, 2010","86.03","85.71","86.30","85.63","-","0.44%"
"Jun 28, 2010","85.65","85.29","85.79","85.22","-","0.40%"
"Jun 25, 2010","85.31","85.73","86.12","85.25","-","-0.49%"
"Jun 24, 2010","85.73","85.80","86.00","85.41","-","-0.01%"
"Jun 23, 2010","85.74","86.06","86.42","85.65","-","-0.43%"
"Jun 22, 2010","86.11","85.94","86.26","85.75","-","0.21%"
"Jun 21, 2010","85.93","85.25","86.04","85.09","-","0.27%"
"Jun 18, 2010","85.70","85.70","85.77","85.45","-","0.01%"
"Jun 17, 2010","85.69","86.15","86.53","85.52","-","-0.45%"
"Jun 16, 2010","86.08","86.09","86.39","85.92","-","0.12%"
"Jun 15, 2010","85.98","86.71","86.89","85.91","-","-0.61%"
"Jun 14, 2010","86.51","86.80","87.02","86.18","-","-1.14%"
"Jun 11, 2010","87.51","87.10","87.65","86.94","-","0.39%"
"Jun 10, 2010","87.17","87.90","88.06","86.95","-","-0.83%"
"Jun 09, 2010","87.90","88.14","88.39","87.41","-","-0.55%"
"Jun 08, 2010","88.39","88.45","88.59","87.96","-","-0.02%"
"Jun 07, 2010","88.41","88.41","88.71","88.16","-","0.20%"
"Jun 04, 2010","88.23","87.22","88.34","86.90","-","1.25%"
"Jun 03, 2010","87.14","86.82","87.27","86.30","-","0.40%"
"Jun 02, 2010","86.79","86.68","87.18","86.62","-","0.17%"
"Jun 01, 2010","86.64","86.58","87.47","86.16","-","0.06%"
"May 31, 2010","86.59","86.73","86.73","86.43","-","0.13%"
"May 28, 2010","86.48","86.35","86.80","85.85","-","0.34%"
"May 27, 2010","86.19","87.30","87.31","86.10","-","-1.07%"
"May 26, 2010","87.12","86.53","87.39","86.50","-","0.39%"
"May 25, 2010","86.78","86.47","87.45","86.33","-","0.66%"
"May 24, 2010","86.21","85.76","86.57","85.62","-","0.98%"
"May 21, 2010","85.37","85.90","85.98","85.13","-","-0.22%"
"May 20, 2010","85.56","86.29","86.80","85.40","-","-0.96%"
"May 19, 2010","86.39","87.26","87.46","86.06","-","-0.88%"
"May 18, 2010","87.16","86.22","87.38","85.91","-","1.11%"
"May 17, 2010","86.20","86.31","87.06","86.05","-","0.13%"
"May 14, 2010","86.09","85.36","86.29","85.20","-","1.03%"
"May 13, 2010","85.21","84.80","85.46","84.55","-","0.45%"
"May 12, 2010","84.83","84.71","84.93","84.20","-","0.43%"
"May 11, 2010","84.47","84.39","84.78","84.14","-","0.37%"
"May 10, 2010","84.16","83.62","84.38","82.91","-","-0.34%"
"May 07, 2010","84.45","84.88","85.14","84.32","-","-0.52%"
"May 06, 2010","84.89","84.16","85.27","83.92","-","0.96%"
"May 05, 2010","84.08","83.45","84.31","83.36","-","0.94%"
"May 04, 2010","83.30","82.36","83.53","82.29","-","1.25%"
"May 03, 2010","82.27","81.84","82.56","81.83","-","0.49%"
"Apr 30, 2010","81.87","81.90","82.09","81.63","-","-0.16%"
"Apr 29, 2010","82.00","82.27","82.38","81.88","-","-0.46%"
"Apr 28, 2010","82.38","82.29","82.71","82.02","-","0.28%"
"Apr 27, 2010","82.15","81.18","82.44","81.17","-","0.82%"
"Apr 26, 2010","81.48","81.47","81.71","81.17","-","0.16%"
"Apr 23, 2010","81.35","82.02","82.07","81.32","-","-0.27%"
"Apr 22, 2010","81.57","81.23","81.78","81.04","-","0.51%"
"Apr 21, 2010","81.16","81.12","81.33","80.96","-","0.14%"
"Apr 20, 2010","81.05","80.92","81.13","80.76","-","0.06%"
"Apr 19, 2010","81.00","80.96","81.28","80.91","-","0.22%"
"Apr 16, 2010","80.82","80.52","80.91","80.47","-","0.42%"
"Apr 15, 2010","80.48","80.19","80.75","80.15","-","0.36%"
"Apr 14, 2010","80.19","80.42","80.49","80.03","-","-0.40%"
"Apr 13, 2010","80.51","80.55","80.75","80.27","-","-0.06%"
"Apr 12, 2010","80.56","80.39","80.69","80.08","-","-0.65%"
"Apr 09, 2010","81.09","81.49","81.58","80.87","-","-0.54%"
"Apr 08, 2010","81.53","81.64","81.91","81.45","-","0.11%"
"Apr 07, 2010","81.44","81.32","81.72","81.31","-","0.06%"
"Apr 06, 2010","81.39","81.07","81.64","81.04","-","0.37%"
"Apr 05, 2010","81.09","81.19","81.30","80.92","-","-0.25%"
"Apr 02, 2010","81.29","80.70","81.32","80.69","-","0.63%"
"Apr 01, 2010","80.78","81.04","81.25","80.68","-","-0.36%"
"Mar 31, 2010","81.07","81.46","81.70","80.89","-","-0.49%"
"Mar 30, 2010","81.47","81.25","81.56","81.00","-","0.14%"
"Mar 29, 2010","81.36","81.46","81.62","81.16","-","-0.39%"
"Mar 26, 2010","81.68","82.02","82.05","81.56","-","-0.54%"
"Mar 25, 2010","82.12","81.85","82.24","81.60","-","0.34%"
"Mar 24, 2010","81.84","80.94","82.03","80.89","-","1.16%"
"Mar 23, 2010","80.90","80.57","81.03","80.55","-","0.31%"
"Mar 22, 2010","80.65","80.85","81.08","80.52","-","-0.09%"
"Mar 19, 2010","80.72","80.29","80.89","80.23","-","0.62%"
"Mar 18, 2010","80.22","79.75","80.44","79.73","-","0.73%"
"Mar 17, 2010","79.64","79.71","79.83","79.51","-","-0.14%"
"Mar 16, 2010","79.75","80.22","80.33","79.63","-","-0.62%"
"Mar 15, 2010","80.25","79.78","80.41","79.78","-","0.53%"
"Mar 12, 2010","79.83","80.27","80.33","79.69","-","-0.61%"
"Mar 11, 2010","80.32","80.46","80.57","80.24","-","-0.15%"
"Mar 10, 2010","80.44","80.55","80.86","80.31","-","-0.19%"
"Mar 09, 2010","80.59","80.51","80.86","80.41","-","0.20%"
"Mar 08, 2010","80.43","80.42","80.55","80.08","-","0.00%"
"Mar 05, 2010","80.43","80.53","80.89","80.40","-","-0.16%"
"Mar 04, 2010","80.56","80.05","80.67","79.94","-","0.73%"
"Mar 03, 2010","79.98","80.35","80.56","79.82","-","-0.67%"
"Mar 02, 2010","80.52","80.76","81.29","80.38","-","-0.17%"
"Mar 01, 2010","80.66","80.42","81.26","80.29","-","0.37%"
"Feb 26, 2010","80.36","80.77","80.85","80.12","-","-0.53%"
"Feb 25, 2010","80.79","80.78","81.13","80.66","-","-0.07%"
"Feb 24, 2010","80.85","80.89","80.94","80.36","-","0.00%"
"Feb 23, 2010","80.85","80.51","80.99","80.09","-","0.42%"
"Feb 22, 2010","80.51","80.43","80.67","80.36","-","-0.16%"
"Feb 19, 2010","80.64","81.25","81.34","80.51","-","0.30%"
"Feb 18, 2010","80.40","80.45","81.25","80.19","-","0.02%"
"Feb 17, 2010","80.38","79.64","80.53","79.56","-","0.85%"
"Feb 16, 2010","79.70","80.39","80.42","79.59","-","-0.78%"
"Feb 15, 2010","80.33","80.36","80.52","80.20","-","0.01%"
"Feb 12, 2010","80.32","80.02","80.75","79.99","-","0.41%"
"Feb 11, 2010","79.99","79.94","80.50","79.71","-","-0.05%"
"Feb 10, 2010","80.03","79.81","80.31","79.66","-","0.21%"
"Feb 09, 2010","79.86","80.34","80.43","79.56","-","-0.55%"
"Feb 08, 2010","80.30","80.35","80.52","80.09","-","-0.17%"
"Feb 05, 2010","80.44","79.98","80.68","79.94","-","0.65%"
"Feb 04, 2010","79.92","79.35","80.02","79.34","-","0.69%"
"Feb 03, 2010","79.37","78.98","79.46","78.68","-","0.46%"
"Feb 02, 2010","79.01","79.23","79.41","78.97","-","-0.29%"
"Feb 01, 2010","79.24","79.46","79.53","79.16","-","-0.28%"
"Jan 29, 2010","79.46","78.99","79.50","78.85","-","0.71%"
"Jan 28, 2010","78.90","78.66","79.07","78.54","-","0.29%"
"Jan 27, 2010","78.67","78.55","78.85","78.37","-","0.31%"
"Jan 26, 2010","78.43","78.17","78.64","78.08","-","0.31%"
"Jan 25, 2010","78.19","78.23","78.34","78.03","-","-0.11%"
"Jan 22, 2010","78.28","78.39","78.53","78.04","-","-0.05%"
"Jan 21, 2010","78.32","78.27","78.81","78.13","-","-0.03%"
"Jan 20, 2010","78.34","77.58","78.45","77.51","-","1.08%"
"Jan 19, 2010","77.50","76.98","77.69","76.94","-","0.57%"
"Jan 18, 2010","77.06","77.36","77.39","77.04","-","-0.34%"
"Jan 15, 2010","77.32","76.78","77.41","76.76","-","0.77%"
"Jan 14, 2010","76.73","76.79","77.02","76.67","-","-0.16%"
"Jan 13, 2010","76.85","77.12","77.16","76.60","-","-0.13%"
"Jan 12, 2010","76.95","77.09","77.31","76.76","-","-0.06%"
"Jan 11, 2010","77.00","77.21","77.23","76.79","-","-0.61%"
