"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 04, 2010","83.95","84.40","84.83","83.62","-","-0.57%"
"Jun 27, 2010","84.43","85.29","86.30","84.13","-","-1.03%"
"Jun 20, 2010","85.31","85.25","86.42","85.09","-","-0.46%"
"Jun 13, 2010","85.70","86.80","87.02","85.45","-","-2.07%"
"Jun 06, 2010","87.51","88.41","88.71","86.94","-","-0.82%"
"May 30, 2010","88.23","86.73","88.34","86.16","-","2.02%"
"May 23, 2010","86.48","85.76","87.45","85.62","-","1.30%"
"May 16, 2010","85.37","86.31","87.46","85.13","-","-0.84%"
"May 09, 2010","86.09","83.62","86.29","82.91","-","1.94%"
"May 02, 2010","84.45","81.84","85.27","81.83","-","3.15%"
"Apr 25, 2010","81.87","81.47","82.71","81.17","-","0.64%"
"Apr 18, 2010","81.35","80.96","82.07","80.76","-","0.66%"
"Apr 11, 2010","80.82","80.39","80.91","80.03","-","-0.33%"
"Apr 04, 2010","81.09","81.19","81.91","80.87","-","-0.25%"
"Mar 28, 2010","81.29","81.46","81.70","80.68","-","-0.48%"
"Mar 21, 2010","81.68","80.85","82.24","80.52","-","1.19%"
"Mar 14, 2010","80.72","79.78","80.89","79.51","-","1.11%"
"Mar 07, 2010","79.83","80.42","80.86","79.69","-","-0.75%"
"Feb 28, 2010","80.43","80.42","81.29","79.82","-","0.09%"
"Feb 21, 2010","80.36","80.43","81.13","80.09","-","-0.35%"
"Feb 14, 2010","80.64","80.36","81.34","79.56","-","0.40%"
"Feb 07, 2010","80.32","80.35","80.75","79.56","-","-0.15%"
"Jan 31, 2010","80.44","79.46","80.68","78.68","-","1.23%"
"Jan 24, 2010","79.46","78.23","79.50","78.03","-","1.51%"
"Jan 17, 2010","78.28","77.36","78.81","76.94","-","1.24%"
"Jan 10, 2010","77.32","77.21","77.41","76.60","-","-0.19%"
