"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 20","96.74","97.39","97.61","96.24","-","-0.67%"
"Jun 20","97.39","98.20","98.24","95.72","-","-0.97%"
"May 20","98.34","99.12","100.55","97.94","-","-1.23%"
"Apr 20","99.57","98.98","100.93","98.81","-","0.52%"
"Mar 20","99.05","98.12","102.99","94.66","-","0.94%"
"Feb 20","98.13","97.37","99.91","97.37","-","0.76%"
"Jan 20","97.39","96.50","98.19","96.39","-","1.04%"
"Dec 19","96.39","98.27","98.38","96.36","-","-1.91%"
"Nov 19","98.27","97.30","98.54","97.11","-","0.95%"
"Oct 19","97.35","99.40","99.67","97.14","-","-2.04%"
"Sep 19","99.38","98.83","99.46","97.86","-","0.47%"
"Aug 19","98.92","98.59","99.02","97.03","-","0.41%"
"Jul 19","98.52","96.25","98.68","96.25","-","2.49%"
"Jun 19","96.13","97.64","97.80","95.84","-","-1.66%"
"May 19","97.75","97.53","98.37","97.03","-","0.28%"
"Apr 19","97.48","97.18","98.33","96.75","-","0.21%"
"Mar 19","97.28","96.22","97.71","95.74","-","1.16%"
"Feb 19","96.16","95.55","97.37","95.40","-","0.61%"
"Jan 19","95.58","96.15","96.96","95.03","-","-0.61%"
"Dec 18","96.17","97.13","97.71","96.00","-","-1.13%"
"Nov 18","97.27","97.08","97.69","95.68","-","0.14%"
"Oct 18","97.13","95.11","97.20","94.79","-","2.10%"
"Sep 18","95.13","95.19","95.74","93.81","-","-0.01%"
"Aug 18","95.14","94.56","96.98","94.43","-","0.69%"
"Jul 18","94.49","94.63","95.65","93.71","-","-0.16%"
"Jun 18","94.64","93.95","95.53","93.19","-","0.70%"
"May 18","93.98","91.81","95.03","91.80","-","2.33%"
"Apr 18","91.84","89.97","91.99","89.23","-","2.08%"
"Mar 18","89.97","90.67","90.93","88.94","-","-0.71%"
"Feb 18","90.61","89.04","90.70","88.25","-","1.66%"
"Jan 18","89.13","92.24","92.64","88.44","-","-3.25%"
"Dec 17","92.12","93.03","94.22","92.08","-","-1.00%"
"Nov 17","93.05","94.55","95.15","92.50","-","-1.59%"
"Oct 17","94.55","93.22","95.15","92.75","-","1.58%"
"Sep 17","93.08","92.61","93.67","91.01","-","0.44%"
"Aug 17","92.67","92.89","94.14","91.62","-","-0.20%"
"Jul 17","92.86","95.65","96.51","92.78","-","-2.90%"
"Jun 17","95.63","96.99","97.87","95.47","-","-1.33%"
"May 17","96.92","98.93","99.89","96.80","-","-2.15%"
"Apr 17","99.05","100.50","101.34","98.69","-","-1.30%"
"Mar 17","100.35","101.43","102.26","98.86","-","-0.76%"
"Feb 17","101.12","99.56","101.76","99.23","-","1.62%"
"Jan 17","99.51","102.38","103.82","99.43","-","-2.64%"
"Dec 16","102.21","101.52","103.65","99.43","-","0.70%"
"Nov 16","101.50","98.39","102.05","95.89","-","3.11%"
"Oct 16","98.44","95.54","99.12","95.46","-","3.12%"
"Sep 16","95.46","95.98","96.33","94.47","-","-0.58%"
"Aug 16","96.02","95.59","96.52","94.08","-","0.51%"
"Jul 16","95.53","95.89","97.57","95.34","-","-0.63%"
"Jun 16","96.14","95.81","96.70","93.02","-","0.26%"
"May 16","95.89","93.02","95.97","91.92","-","3.02%"
"Apr 16","93.08","94.64","95.20","93.01","-","-1.60%"
"Mar 16","94.59","98.18","98.58","94.32","-","-3.69%"
"Feb 16","98.21","99.55","99.63","95.24","-","-1.41%"
"Jan 16","99.61","98.59","99.83","98.05","-","0.99%"
"Dec 15","98.63","100.23","100.51","97.19","-","-1.54%"
"Nov 15","100.17","96.69","100.31","96.64","-","3.32%"
"Oct 15","96.95","96.27","97.82","93.81","-","0.62%"
"Sep 15","96.35","95.93","96.70","94.06","-","0.55%"
"Aug 15","95.82","97.22","98.33","92.62","-","-1.56%"
"Jul 15","97.34","95.58","98.15","95.45","-","1.95%"
"Jun 15","95.48","96.90","97.68","93.56","-","-1.48%"
"May 15","96.91","94.83","97.78","93.13","-","2.44%"
"Apr 15","94.60","98.42","99.99","94.40","-","-3.82%"
"Mar 15","98.36","95.38","100.39","95.06","-","3.19%"
"Feb 15","95.32","94.58","95.85","93.25","-","0.55%"
"Jan 15","94.80","90.36","95.48","90.33","-","5.02%"
"Dec 14","90.27","88.16","90.33","87.63","-","2.16%"
"Nov 14","88.36","87.08","88.44","86.88","-","1.66%"
"Oct 14","86.92","85.92","87.13","84.47","-","1.14%"
"Sep 14","85.94","82.77","86.22","82.67","-","3.85%"
"Aug 14","82.75","81.44","82.75","81.19","-","1.58%"
"Jul 14","81.46","79.79","81.57","79.74","-","2.11%"
"Jun 14","79.78","80.36","81.02","79.76","-","-0.73%"
"May 14","80.37","79.52","80.58","78.91","-","1.13%"
"Apr 14","79.47","80.10","80.60","79.33","-","-0.79%"
"Mar 14","80.10","79.90","80.35","79.27","-","0.51%"
"Feb 14","79.69","81.28","81.32","79.69","-","-1.99%"
"Jan 14","81.31","80.21","81.39","80.08","-","1.60%"
"Dec 13","80.03","80.66","80.99","79.69","-","-0.81%"
"Nov 13","80.68","80.23","81.48","80.25","-","0.61%"
"Oct 13","80.19","80.27","80.75","79.00","-","-0.04%"
"Sep 13","80.22","82.05","82.67","80.03","-","-2.28%"
"Aug 13","82.09","81.66","82.49","80.75","-","0.79%"
"Jul 13","81.45","83.18","84.75","81.41","-","-2.03%"
"Jun 13","83.14","83.32","83.38","80.50","-","-0.14%"
"May 13","83.26","81.71","84.50","81.33","-","1.85%"
"Apr 13","81.75","83.05","83.49","81.60","-","-1.77%"
"Mar 13","83.22","81.92","83.30","81.78","-","1.55%"
"Feb 13","81.95","79.13","82.00","78.92","-","3.46%"
"Jan 13","79.21","79.69","80.87","79.13","-","-0.70%"
"Dec 12","79.77","80.24","80.66","79.01","-","-0.47%"
"Nov 12","80.15","79.95","81.45","79.86","-","0.29%"
"Oct 12","79.92","79.95","80.33","78.94","-","-0.03%"
"Sep 12","79.94","81.29","81.67","78.60","-","-1.56%"
"Aug 12","81.21","82.70","83.51","80.96","-","-1.73%"
"Jul 12","82.64","81.56","84.10","81.53","-","1.24%"
"Jun 12","81.63","83.07","83.54","81.19","-","-1.70%"
"May 12","83.04","78.78","83.22","78.60","-","5.41%"
"Apr 12","78.78","78.89","80.18","78.64","-","-0.28%"
"Mar 12","79.00","78.77","80.74","78.63","-","0.33%"
